"objectid","AGENCY","REGULATION","DAYS","HOURS","HRS_BEGIN","HRS_END","REGDETAILS","MODIFIED","EDITOR","RPPAREA1","RPPAREA2","RPPAREA3","FID_100","LENGTH_FT","CONFLICT","ENACTED","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","HRLIMIT","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","RPP_SYM","MTAB_DATE","MTAB_MOTION","MTAB_RESO_TEXT","SYM_RPP2","GLOBALID","EXCEPTIONS","FROM_TIME","TO_TIME","shape","data_as_of","analysis_neighborhood","supervisor_district","data_loaded_at"
"7445",,"Time limited","M-F","900-1800","900","1800",,"2015-01-07 16:00:00-08:00","Mark C. Dreger","N",,,"3076","383","0",,,,,,"2",,,"RAYNELLCOOPER","2024-04-29 17:21:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.473990553 37.781814028, -122.473914429 37.780764073))","2024 Apr 29 05:21:10 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"17286",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"1718","238","0","7/19/2016",,,"mta","1442448000000","2","LULUBRIEN","2025-04-28 18:02:32-07:00","LULUBRIEN","2025-04-28 18:02:32-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.463752822 37.775441908, -122.462929853 37.775479351))","2025 Apr 28 06:02:32 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2596",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7445","596","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475310075 37.784442193, -122.475428496 37.786075601))","2017 May 12 05:13:37 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"7157",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7477","74","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472122096 37.786440543, -122.472138266 37.786643052))","2017 May 12 05:13:38 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6968",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7000","486","0",,,,,,"2",,,"MTA","2017-05-12 17:13:12-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.45826124 37.775315163, -122.456598291 37.775521553))","2017 May 12 05:13:12 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"1019",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7022","182","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455529618 37.779936315, -122.454910927 37.780022657))","2017 May 12 05:13:38 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"14401",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7440","258","0",,,,,,"2","RAYNELLCOOPER","2023-04-27 11:43:06-07:00","RAYNELLCOOPER","2023-04-27 11:43:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475244653 37.784390098, -122.474354032 37.78443772))","2023 Apr 27 11:43:10 AM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"6137",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6988","175","0",,,,,,"2",,,"MTA","2017-05-12 17:13:10-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455048491 37.777700878, -122.454451101 37.777780164))","2017 May 12 05:13:10 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"6129",,"Time limited","M-F","900-1800","900","1800",,"2014-12-30 16:00:00-08:00","Mark C. Dreger","N",,,"1665","238","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.470435093 37.778737778, -122.469611839 37.778774979))","2017 May 12 05:13:23 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5996",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7063","207","0",,,,,,"2",,,"MTA","2017-05-12 17:13:12-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.447528077 37.77633926, -122.447418187 37.775778484))","2017 May 12 05:13:12 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"463",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7583","244","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.465504091 37.78495342, -122.464670589 37.78506407))","2017 May 12 05:13:23 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"4362",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7009","269","0",,,,,,"2",,,"MTA","2017-05-12 17:13:13-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455327169 37.774803783, -122.455482458 37.775531687))","2017 May 12 05:13:13 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"4991",,"Time limited","M-F","800-1800","800","1800",,,,"L","BB",,"801","241","0","6/28/2016",,,"mta","1442448000000","4",,,"MTA","2017-05-12 17:13:13-07:00","lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2",,,,"lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2 | 4, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.453220909 37.777934162, -122.452396675 37.778039641))","2017 May 12 05:13:13 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"4253",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7115","122","0",,,,,,"2",,,"MTA","2017-05-12 17:13:15-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455285101 37.777449935, -122.455216499 37.777118045))","2017 May 12 05:13:15 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"7390",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7017","692","0",,,,,,"2",,,"MTA","2017-05-12 17:13:35-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.456131438 37.777637817, -122.456519298 37.779514197))","2017 May 12 05:13:35 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"14404",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7438","207","0",,,,,,"2","RAYNELLCOOPER","2023-04-27 11:43:25-07:00","RAYNELLCOOPER","2023-04-27 11:43:50-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475580428 37.786273976, -122.475612885 37.786785492))","2023 Apr 27 11:43:50 AM","Presidio, Seacliff","1, 2","2025 May 03 10:16:38 AM"
"5732",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7523","669","0",,,,,,"2",,,"MTA","2017-05-12 17:13:14-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.463688587 37.788657106, -122.463548053 37.786821834))","2017 May 12 05:13:14 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2866",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"800","789","0","6/28/2016",,,"mta","1442448000000","4",,,"MTA","2017-05-12 17:13:35-07:00","lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2",,,,"lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2 | 4, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.453757897 37.780115661, -122.45377433 37.779919578, -122.45375738 37.779770296, -122.453403313 37.778087016, -122.453325588 37.777992268))","2017 May 12 05:13:35 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"3032",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6955","587","0",,,,,,"2",,,"MTA","2017-05-12 17:13:02-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.460990166 37.780991135, -122.460873865 37.779382474))","2017 May 12 05:13:02 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5555",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7005","408","0",,,,,,"2",,,"MTA","2017-05-12 17:12:58-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.456608786 37.776793341, -122.455213618 37.776962255))","2017 May 12 05:12:58 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"6884",,"Time limited","M-F","800-1800","800","1800",,,,"L","BB",,"803","165","0","6/28/2016",,,"mta","1442448000000","4",,,"MTA","2017-05-12 17:12:58-07:00","lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2",,,,"lapis lazuli, 2.5 pt, dash 3:1:1:1, interval 2 | 4, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.451448782 37.778160937, -122.450884751 37.778233109))","2017 May 12 05:12:58 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"4858",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7596","246","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.462320296 37.78520605, -122.461479704 37.78531238))","2017 May 12 05:13:25 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6410",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7416","600","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472771251 37.778586606, -122.472653195 37.776942014))","2017 May 12 05:13:25 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"5376",,"Time limited","M-F","900-1800","900","1800",,"2015-01-07 16:00:00-08:00","Mark C. Dreger","F","N",,"5545","115","0",,,,,,"2",,,"MTA","2017-05-12 17:13:15-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.460230465 37.785423566, -122.460206202 37.785109198))","2017 May 12 05:13:15 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5292",,"No oversized vehicles","M-Su","2400-600","2400","600","Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet","1899-12-29 16:07:00-07:53",,,,,"0","592","2","March 2014",,,"mta","1442448000000","0",,,"MTA","2017-05-12 17:09:15-07:00",,,,,,,"Yes. Typical passenger vehicles are exempt.","12am","6am","MULTILINESTRING ((-122.471988865 37.782480924, -122.471871337 37.780857252))","2017 May 12 05:09:15 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"3649",,"No oversized vehicles","M-Su","2400-600","2400","600","Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet","1899-12-29 16:07:00-07:53",,,,,"0","589","2","March 2014",,,"mta","1442448000000","0",,,"MTA","2017-05-12 17:09:13-07:00",,,,,,,"Yes. Typical passenger vehicles are exempt.","12am","6am","MULTILINESTRING ((-122.471594211 37.777033361, -122.471713241 37.778648948))","2017 May 12 05:09:13 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"1403",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7476","589","0",,,,,,"2",,,"MTA","2017-05-12 17:13:13-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.469847972 37.784694309, -122.469964948 37.786309418))","2017 May 12 05:13:13 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"1485",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6994","261","0",,,,,,"2",,,"MTA","2017-05-12 17:13:02-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.456239492 37.7746713, -122.456383669 37.775379705))","2017 May 12 05:13:02 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"235",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7431","592","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472788818 37.780810296, -122.472906514 37.782434528))","2017 May 12 05:13:25 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"418",,"Time limited","M-F","700-1800","700","1800",,,,,,,"4007","801","0",,,,"mta","1442448000000","4",,,"MTA","2017-05-12 17:13:03-07:00",,,,,,,"None. Regulation applies to all vehicles.","7am","6pm","MULTILINESTRING ((-122.461863405 37.77182376, -122.459147165 37.771380753))","2017 May 12 05:13:03 PM","Golden Gate Park","1","2025 May 03 10:16:38 AM"
"477",,"Time limited","M-F","900-1800","900","1800",,"2015-01-07 16:00:00-08:00","Mark C. Dreger","F","N",,"5539","249","0",,,,,,"4",,,"MTA","2017-05-12 17:13:12-07:00","black, 2.5 pt, dash 3:1:1:1, interval 2",,,,"black, 2.5 pt, dash 3:1:1:1, interval 2 | 4, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.460291808 37.786949628, -122.459432208 37.78698845))","2017 May 12 05:13:12 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"4098",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7567","539","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.463465938 37.78680599, -122.461603247 37.786890252))","2017 May 12 05:13:25 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2693",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7541","87","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.461291032 37.785284934, -122.461264259 37.785046381))","2017 May 12 05:13:25 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2974",,"Time limited","M-F","900-1800","900","1800",,"2014-12-30 16:00:00-08:00","Mark C. Dreger","N",,,"1667","239","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.469374907 37.778785307, -122.46933742 37.778787378, -122.468550982 37.778822908))","2017 May 12 05:13:37 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"1954",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7510","461","0",,,,,,"2",,,"MTA","2017-05-12 17:13:24-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.465687698 37.784622892, -122.465596311 37.783360079))","2017 May 12 05:13:24 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"1868",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6979","204","0",,,,,,"2",,,"MTA","2017-05-12 17:13:35-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.45848546 37.777355004, -122.458535823 37.777914177))","2017 May 12 05:13:35 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"2362",,"No oversized vehicles","M-Su","2400-600","2400","600","Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet","1899-12-29 16:07:00-07:53",,,,,"0","588","2","March 2014",,,"mta","1442448000000","0",,,"MTA","2017-05-12 17:09:13-07:00",,,,,,,"Yes. Typical passenger vehicles are exempt.","12am","6am","MULTILINESTRING ((-122.471461493 37.775155222, -122.471578365 37.776768629))","2017 May 12 05:09:13 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5856",,"Time limited","m-f","900-1800","900","1800","Monday through Friday, except vehicles with an area N permit",,,"N",,,,,,,,,,,"2","TMINICUCCI","2017-06-05 16:31:04-07:00","TMINICUCCI","2017-06-05 16:35:14-07:00",,,"170516-060","ESTABLISH – RESIDENTIAL PERMIT PARKING AREA N, 2-HOUR PARKING, 9 AM TO 6 PM, MONDAY THROUGH FRIDAY, EXCEPT VEHICLES WITH AREA N PERMIT –Balboa Street, both sides, between 8th Avenue and 9th Avenue (700 block).",,,"Yes. RPP holders are exempt from time limits.",,,"MULTILINESTRING ((-122.466283202 37.777223237, -122.467106367 37.777185821))","2017 Jun 05 04:35:14 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"3126",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7572","239","0",,,,,,"2",,,"MTA","2017-05-12 17:13:27-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.471923299 37.784552826, -122.471098189 37.784589922))","2017 May 12 05:13:27 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2293",,"Time limited","M-F","900-1800","900","1800",,"2015-01-14 16:00:00-08:00","Mark C. Dreger","F","N",,"5530","107","0",,,,,,"2",,,"MTA","2017-05-12 17:13:36-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.459131451 37.783531307, -122.459152766 37.783825443))","2017 May 12 05:13:36 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2282",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7564","223","0",,,,,,"2",,,"MTA","2017-05-12 17:13:24-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.465617373 37.786562835, -122.464846985 37.786597703))","2017 May 12 05:13:24 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"3158",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7571","233","0",,,,,,"2",,,"MTA","2017-05-12 17:13:14-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.461339508 37.786748136, -122.460534624 37.786784536))","2017 May 12 05:13:14 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2325",,"Time limited","M-F","800-1800","800","1800",,,,"K",,,"6679","278","0",,,,,,"3",,,"MTA","2017-05-12 17:13:24-07:00","lapis lazuli, 2.5 pt, dash 3:1, interval 2",,,,"lapis lazuli, 2.5 pt, dash 3:1, interval 2 | 3, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.445139023 37.7948171, -122.444986945 37.794062958))","2017 May 12 05:13:24 PM","Pacific Heights","2","2025 May 03 10:16:38 AM"
"2176",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6973","386","0",,,,,,"2",,,"MTA","2017-05-12 17:13:01-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.45529434 37.78126854, -122.455079513 37.780221742))","2017 May 12 05:13:01 PM","Lone Mountain/USF","2","2025 May 03 10:16:38 AM"
"3071",,"Time limited","M-F","800-1800","800","1800",,,,"M",,,"7354","266","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.443504751 37.80361274, -122.443358312 37.802890225))","2017 May 12 05:13:37 PM","Marina","2","2025 May 03 10:16:38 AM"
"5134",,"Time limited","M-F","800-1800","800","1800",,,,"P",,,"8043","239","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","anemone violet, 2.5 pt, no dash",,,,"anemone violet, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.444371717 37.779528073, -122.444321041 37.779522533, -122.443581756 37.779616524, -122.443557326 37.779628229))","2017 May 12 05:13:25 PM","Lone Mountain/USF","2","2025 May 03 10:16:38 AM"
"6706",,"Time limited","M-F","800-1800","800","1800",,,,"G",,,"6024","121","0",,,,,,"2",,,"RAYNELLCOOPER","2023-04-27 13:42:08-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.441584096 37.785917994, -122.441318971 37.785951725))","2023 Apr 27 01:42:08 PM","Pacific Heights","2","2025 May 03 10:16:38 AM"
"7494",,"Time limited","M-F","800-1800","800","1800",,,,"F","G",,"5928","332","0",,,,,,"3",,,"MTA","2017-05-12 17:13:37-07:00","lapis lazuli, 2.5 pt, dash 3:1, interval 2",,,,"lapis lazuli, 2.5 pt, dash 3:1, interval 2 | 3, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.447371681 37.790785609, -122.446236922 37.790930063))","2017 May 12 05:13:37 PM","Presidio Heights","2","2025 May 03 10:16:38 AM"
"6451",,"Time limited","M-F","800-1800","800","1800",,,,"M",,,"7261","194","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.437926153 37.804304523, -122.437262151 37.804387433))","2017 May 12 05:13:38 PM","Marina","2","2025 May 03 10:16:38 AM"
"3430",,"Time limited","M-F","800-1800","800","1800",,,,"G",,,"5690","407","0",,,,,,"2",,,"MTA","2017-05-12 17:13:00-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.436600675 37.786551812, -122.4352097 37.786729417))","2017 May 12 05:13:00 PM","Pacific Heights","2","2025 May 03 10:16:38 AM"
"3271",,"Time limited","M-F","800-1800","800","1800",,,,"K",,,"6758","349","0",,,,,,"2",,,"MTA","2017-05-12 17:13:10-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.441756281 37.796345475, -122.44056265 37.796497353))","2017 May 12 05:13:10 PM","Marina","2","2025 May 03 10:16:38 AM"
"6199",,"Time limited","M-Sa","800-2100","800","2100",,"2015-01-08 16:00:00-08:00","Mark C. Dreger","K","M",,"6732","274","0","1/5/2016",,,,,"2",,,"MTA","2017-05-12 17:17:29-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-Sa, 800-2100",,"Yes. RPP holders are exempt from time limits.","8am","9pm","MULTILINESTRING ((-122.447503377 37.800256893, -122.447390876 37.799509677))","2017 May 12 05:17:29 PM","Marina","2","2025 May 03 10:16:38 AM"
"6186",,"Time limited","M-F","800-1800","800","1800",,,,"G",,,"5572","145","0",,,,,,"2",,,"MTA","2017-05-12 17:13:10-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.433545302 37.789028501, -122.433050281 37.789091457))","2017 May 12 05:13:10 PM","Pacific Heights","2","2025 May 03 10:16:38 AM"
"6303",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7053","402","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.448028038 37.782566824, -122.448245313 37.783656375))","2017 May 12 05:13:38 PM","Presidio Heights","2","2025 May 03 10:16:38 AM"
"2731",,"Time limited","M-F","800-1800","800","1800",,,,"M",,,"7268","172","0",,,,,,"2",,,"MTA","2017-05-12 17:13:28-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.437477771 37.802948664, -122.437504191 37.802935264, -122.437528251 37.802918473, -122.437862013 37.802590814))","2017 May 12 05:13:28 PM","Marina","2","2025 May 03 10:16:38 AM"
