"objectid","AGENCY","REGULATION","DAYS","HOURS","HRS_BEGIN","HRS_END","REGDETAILS","MODIFIED","EDITOR","RPPAREA1","RPPAREA2","RPPAREA3","FID_100","LENGTH_FT","CONFLICT","ENACTED","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","HRLIMIT","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","RPP_SYM","MTAB_DATE","MTAB_MOTION","MTAB_RESO_TEXT","SYM_RPP2","GLOBALID","EXCEPTIONS","FROM_TIME","TO_TIME","shape","data_as_of","analysis_neighborhood","supervisor_district","data_loaded_at"
"7640",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"9725","102","0",,,,,,"2",,,"MTA","2017-05-12 17:13:11-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.458370012 37.775625681, -122.458349327 37.775345109))","2017 May 12 05:13:11 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"6938",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7502","482","0",,,,,,"2",,,"MTA","2017-05-12 17:13:02-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.466759085 37.784593631, -122.466663374 37.783271331))","2017 May 12 05:13:02 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6178",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7441","249","0",,,,,,"2",,,"MTA","2017-05-12 17:13:28-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.475356044 37.786121625, -122.474495872 37.786160171))","2017 May 12 05:13:28 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"36",,"Time limited","M-F","800-1800","800","1800",,,,"N",,,"1768","600","0",,,,"MDREGER","1442275200000","2",,,"MTA","2017-05-12 17:13:27-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.470359049 37.774963617, -122.470239959 37.773319195))","2017 May 12 05:13:27 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6101",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7498","57","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.466921471 37.786865772, -122.466910243 37.786710651))","2017 May 12 05:13:38 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6541",,"No oversized vehicles","M-Su","2400-600","2400","600","Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet","1899-12-29 16:07:00-07:53",,,,,"0","592","2","March 2014",,,"mta","1442448000000","0",,,"MTA","2017-05-12 17:09:13-07:00",,,,,,,"Yes. Typical passenger vehicles are exempt.","12am","6am","MULTILINESTRING ((-122.47291973 37.782439521, -122.472802033 37.78081529))","2017 May 12 05:09:13 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"6277",,"Time limited","M-F","900-1800","900","1800",,"2014-12-29 16:00:00-08:00","Steph A. Nelson","N",,,"1737","237","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.4692376 37.776927034, -122.468419102 37.776964257))","2017 May 12 05:13:25 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5421",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"1725","601","0","11/2015",,,"MDREGER","1448323200000","2",,,"MTA","2017-05-12 17:13:27-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.467140105 37.776985618, -122.467136798 37.776935648, -122.467021208 37.77533863))","2017 May 12 05:13:27 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5088",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7458","68","0",,,,,,"2",,,"MTA","2017-05-12 17:13:24-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472251665 37.782505245, -122.472033227 37.782515298, -122.472017363 37.782514694))","2017 May 12 05:13:24 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6318",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7506","539","0",,,,,,"2",,,"MTA","2017-05-12 17:13:26-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.465942766 37.788209123, -122.465835794 37.786730901))","2017 May 12 05:13:26 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6420",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7412","244","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.471527326 37.778826298, -122.470682819 37.778865024))","2017 May 12 05:13:37 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"3127",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7548","487","0",,,,,,"2",,,"RAYNELLCOOPER","2024-04-29 17:21:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.461108667 37.782693116, -122.461015271 37.781356818))","2024 Apr 29 05:21:10 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"2871",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7116","187","0",,,,,,"2",,,"MTA","2017-05-12 17:13:13-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.455173499 37.776910029, -122.455068528 37.776402189))","2017 May 12 05:13:13 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"3487",,"No oversized vehicles","M-Su","2400-600","2400","600","Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet","1899-12-29 16:07:00-07:53",,,,,"0","586","2","March 2014",,,"mta","1442448000000","0",,,"MTA","2017-05-12 17:09:13-07:00",,,,,,,"Yes. Typical passenger vehicles are exempt.","12am","6am","MULTILINESTRING ((-122.473054793 37.784310466, -122.473054258 37.784301001, -122.473054257 37.784300987, -122.472938541 37.782704144))","2017 May 12 05:09:13 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"6765",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7487","525","0",,,,,,"2",,,"RAYNELLCOOPER","2024-04-29 17:21:10-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.468761786 37.784498995, -122.468657508 37.783058515))","2024 Apr 29 05:21:10 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6835",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7438","207","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.474452648 37.786345609, -122.474488703 37.78691382))","2017 May 12 05:13:25 PM","Seacliff","1","2025 May 03 10:16:38 AM"
"4811",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7551","223","0",,,,,,"2",,,"MTA","2017-05-12 17:13:24-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472031621 37.786413228, -122.47126127 37.78644823))","2017 May 12 05:13:24 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"4957",,"Time limited","M-F","800-1800","800","1800",,,,"N",,,"1769","597","0",,,,"MDREGER","1442275200000","2",,,"MTA","2017-05-12 17:13:36-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.470220705 37.774967518, -122.470102138 37.773330264))","2017 May 12 05:13:36 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"6214",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7600","233","0",,,,,,"2",,,"MTA","2017-05-12 17:13:26-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.461195504 37.785032069, -122.46039082 37.785069457))","2017 May 12 05:13:26 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"5298",,"Time limited","M-Su","700-1800","700","1800",,,,,,,"3768","832","0",,,,"mta","1442448000000","4",,,"MTA","2017-05-12 17:12:59-07:00",,,,,,,"None. Regulation applies to all vehicles.","7am","6pm","MULTILINESTRING ((-122.512210009 37.779175948, -122.512506009 37.779125948, -122.512895009 37.779127948, -122.513157009 37.779114948, -122.513452008 37.779036948, -122.513622008 37.778961948, -122.513729008 37.778705947, -122.513688009 37.778452948, -122.513531009 37.778137948, -122.513376009 37.777904948))","2017 May 12 05:12:59 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"4434",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7574","241","0",,,,,,"2",,,"MTA","2017-05-12 17:13:38-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.470842451 37.784600782, -122.47001005 37.784642337))","2017 May 12 05:13:38 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"4318",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7405","241","0",,,,,,"2",,,"MTA","2017-05-12 17:13:02-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.470032523 37.773288317, -122.469199564 37.773329169))","2017 May 12 05:13:02 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
